year,period,periodName,latest,value,footnotes,date,series_id,pct_change
2023,M01,January,,391.366,[{}],2023-01-01,PCU333131333131,
2023,M02,February,,391.602,[{}],2023-02-01,PCU333131333131,
2023,M03,March,,391.602,[{}],2023-03-01,PCU333131333131,
2023,M04,April,,406.611,[{}],2023-04-01,PCU333131333131,
2023,M05,May,,407.742,[{}],2023-05-01,PCU333131333131,
2023,M06,June,,408.048,[{}],2023-06-01,PCU333131333131,
2023,M07,July,,412.579,[{}],2023-07-01,PCU333131333131,
2023,M08,August,,414.952,[{}],2023-08-01,PCU333131333131,
2023,M09,September,,416.362,[{}],2023-09-01,PCU333131333131,
2023,M10,October,,417.023,[{}],2023-10-01,PCU333131333131,
2023,M11,November,,426.676,[{}],2023-11-01,PCU333131333131,
2023,M12,December,,426.931,[{}],2023-12-01,PCU333131333131,
2024,M01,January,,427.637,[{}],2024-01-01,PCU333131333131,9.267795362908382
2024,M02,February,,433.268,[{}],2024-02-01,PCU333131333131,10.639884372398512
2024,M03,March,,433.268,[{}],2024-03-01,PCU333131333131,10.639884372398512
2024,M04,April,,435.887,[{}],2024-04-01,PCU333131333131,7.200001967482428
2024,M05,May,,436.828,[{}],2024-05-01,PCU333131333131,7.133432415596119
2024,M06,June,,439.143,[{}],2024-06-01,PCU333131333131,7.620427008587227
2024,M07,July,,442.282,[{}],2024-07-01,PCU333131333131,7.199348488410706
2024,M08,August,,442.282,[{}],2024-08-01,PCU333131333131,6.586303958048156
2024,M09,September,,442.282,[{}],2024-09-01,PCU333131333131,6.225351977365845
2024,M10,October,,442.282,[{}],2024-10-01,PCU333131333131,6.0569800706435695
2024,M11,November,,443.956,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2024-11-01,PCU333131333131,4.049911408187956
2024,M12,December,,441.344,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2024-12-01,PCU333131333131,3.375955365152694
2025,M01,January,,442.215,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2025-01-01,PCU333131333131,3.4089660155692814
2025,M02,February,True,442.852,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2025-02-01,PCU333131333131,2.2120258131225867
2024,M13,Annual,,438.372,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",,PCU333131333131,1.178023763582825
2023,M13,Annual,,409.291,[{}],,PCU333131333131,-6.101581373154053
