Month,Date,value,source,indicator_id,unit,preferred_direction,description,is_latest,monthly_change,yoy_change,last_updated_date
2020-01,2020-01-01,140.10525654657155,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,,,Apr-25
2020-02,2020-02-01,141.5218147585242,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.0110671411402539,,Apr-25
2020-03,2020-03-01,143.79948091247775,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.6094099399727835,,Apr-25
2020-04,2020-04-01,144.14080488561595,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.23736106067444585,,Apr-25
2020-05,2020-05-01,143.22699700942516,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.6339689006981342,,Apr-25
2020-06,2020-06-01,140.21950844934008,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-2.0998056392170006,,Apr-25
2020-07,2020-07-01,139.71006305388832,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.3633199125325892,,Apr-25
2020-08,2020-08-01,139.9362746533087,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.1619150363801003,,Apr-25
2020-09,2020-09-01,140.6659094285327,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.5214050302765783,,Apr-25
2020-10,2020-10-01,138.88394251022982,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-1.2668079462481496,,Apr-25
2020-11,2020-11-01,139.62526548559566,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.5337715519641462,,Apr-25
2020-12,2020-12-01,141.08527049696468,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.0456596134598817,,Apr-25
2021-01,2021-01-01,143.62825343731961,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.8024439627166045,2.514535840828347,Apr-25
2021-02,2021-02-01,146.2643729572087,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.8353767150970146,3.3511146015027027,Apr-25
2021-03,2021-03-01,150.06587920845678,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,2.5990650863148,4.357733599742986,Apr-25
2021-04,2021-04-01,152.8732207029753,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.8707393774828995,6.058253819443427,Apr-25
2021-05,2021-05-01,157.17694083664097,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,2.8152217333260676,9.739744683956353,Apr-25
2021-06,2021-06-01,161.50428735611345,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,2.753168814991791,15.179613123849567,Apr-25
2021-07,2021-07-01,162.2414543140695,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.4564380116613309,16.12725008326028,Apr-25
2021-08,2021-08-01,162.40054572949137,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.09805842538486154,16.05321503079726,Apr-25
2021-09,2021-09-01,160.94918079747157,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.8936946150644887,14.419464852103392,Apr-25
2021-10,2021-10-01,161.30812963884847,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.22301998655624988,16.14598975469532,Apr-25
2021-11,2021-11-01,161.21481776667284,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.057846974225383985,15.462496852551698,Apr-25
2021-12,2021-12-01,160.3426789452385,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.5409793178543842,13.649481891653693,Apr-25
2022-01,2022-01-01,158.3740588813823,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-1.2277579973130837,10.266646771206368,Apr-25
2022-02,2022-02-01,158.19955933398316,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.1101819001367077,8.160009259579715,Apr-25
2022-03,2022-03-01,158.49878372399442,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.18914363053283978,5.619468302866815,Apr-25
2022-04,2022-04-01,158.7294031474662,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.14550233008310265,3.830744467580205,Apr-25
2022-05,2022-05-01,160.38797973558536,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.0449082244568642,2.042945283100872,Apr-25
2022-06,2022-06-01,161.64174204679813,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.7817059066893339,0.0851090041848801,Apr-25
2022-07,2022-07-01,162.043311240294,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.24843161698888672,-0.12212851186105267,Apr-25
2022-08,2022-08-01,160.42083004240828,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-1.0012639123868183,-1.2190326566886456,Apr-25
2022-09,2022-09-01,158.4198246551293,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-1.247347608630378,-1.5715247072459748,Apr-25
2022-10,2022-10-01,155.995845174262,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-1.530098575821659,-3.29325278055117,Apr-25
2022-11,2022-11-01,152.87255473941622,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-2.0021625776999286,-5.1746254735283825,Apr-25
2022-12,2022-12-01,151.976324820229,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.5862595288702477,-5.217796147628828,Apr-25
2023-01,2023-01-01,153.58594322523115,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.0591244438277858,-3.0232954121213185,Apr-25
2023-02,2023-02-01,155.30720651937497,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.1207166866954887,-1.8282938503652812,Apr-25
2023-03,2023-03-01,156.87721825661689,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.0109072028451127,-1.0230775462613528,Apr-25
2023-04,2023-04-01,158.87269911922968,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.2720016869171014,0.09027689194442967,Apr-25
2023-05,2023-05-01,162.24916114699437,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,2.125262582233045,1.1604244996896496,Apr-25
2023-06,2023-06-01,163.96164566682185,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.0554658697286001,1.4352132009020746,Apr-25
2023-07,2023-07-01,163.3664412668334,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.3630144096003707,0.8165286283105644,Apr-25
2023-08,2023-08-01,163.33209770174497,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.02102241122601267,1.8147691035927727,Apr-25
2023-09,2023-09-01,161.9635063866254,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.8379193890099335,2.2368928505068553,Apr-25
2023-10,2023-10-01,160.92919841776822,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.6386055673480939,3.1624901535006966,Apr-25
2023-11,2023-11-01,159.4736229045983,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.9044819258909653,4.318020442867687,Apr-25
2023-12,2023-12-01,158.21821221140647,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,-0.7872215293828644,4.1071445822636665,Apr-25
2024-01,2024-01-01,159.39344195501755,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.742790433025986,3.781269696843159,Apr-25
2024-02,2024-02-01,160.2421939970107,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.5324886843416587,3.1775650262694466,Apr-25
2024-03,2024-03-01,162.85830304304943,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.632596871512848,3.8125897774709427,Apr-25
2024-04,2024-04-01,165.52119217267665,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.6350957119596998,4.184792661234682,Apr-25
2024-05,2024-05-01,166.89170851335788,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,0.828000525305228,2.8613691026466714,Apr-25
2024-06,2024-06-01,169.1860876195743,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA),False,1.3747711774625193,3.1863805291200586,Apr-25
