Month,Date,value,source,indicator_id,unit,preferred_direction,description,is_latest,monthly_change,yoy_change,last_updated_date
2020-01,2020-01-31,97.39,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,,,Apr-25
2020-02,2020-02-28,98.132,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.761885203819701,,Apr-25
2020-03,2020-03-31,99.048,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.9334365956059187,,Apr-25
2020-04,2020-04-30,99.016,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-0.03230756804780688,,Apr-25
2020-05,2020-05-29,98.344,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-0.6786781934232988,,Apr-25
2020-06,2020-06-30,97.391,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-0.9690474253640224,,Apr-25
2020-07,2020-07-31,93.349,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-4.150280826770447,,Apr-25
2020-08,2020-08-31,92.144,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-1.2908547493813538,,Apr-25
2020-09,2020-09-30,93.886,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,1.8905191873588967,,Apr-25
2020-10,2020-10-30,94.038,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.161898472615718,,Apr-25
2020-11,2020-11-30,91.869,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-2.3065143878006733,,Apr-25
2020-12,2020-12-31,89.937,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-2.1029944812722468,,Apr-25
2021-01,2021-01-29,90.584,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.719392463613433,-6.988397166033467,Apr-25
2021-02,2021-02-26,90.879,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.3256645765256527,-7.391065095993154,Apr-25
2021-03,2021-03-31,93.232,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,2.589157010970622,-5.871900492690418,Apr-25
2021-04,2021-04-30,91.28,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-2.093701733310449,-7.812878726670435,Apr-25
2021-05,2021-05-31,89.829,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-1.589614373356718,-8.658382819490773,Apr-25
2021-06,2021-06-30,92.436,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,2.9021808102060787,-5.087739113470446,Apr-25
2021-07,2021-07-30,92.174,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-0.28343935263317466,-1.2587172867411511,Apr-25
2021-08,2021-08-31,92.626,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.49037689587085875,0.5230942872026301,Apr-25
2021-09,2021-09-30,94.23,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,1.731695204370265,0.366401806446115,Apr-25
2021-10,2021-10-29,94.123,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-0.11355194736283325,0.09038899168423153,Apr-25
2021-11,2021-11-30,95.994,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,1.9878244424848202,4.4900891486790995,Apr-25
2021-12,2021-12-31,95.67,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,-0.3375210950684382,6.374462123486446,Apr-25
2022-01,2022-01-31,96.54,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.9093759799310153,6.575112602667144,Apr-25
2022-02,2022-02-28,96.707,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,0.17298529107103722,6.412922677406208,Apr-25
2022-03,2022-03-31,98.312,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.,False,1.6596523519497142,5.4487729534923535,Apr-25
