Month,Date,value,source,indicator_id,unit,preferred_direction,description,is_latest,monthly_change,yoy_change,last_updated_date
2020-01,2020-01-31,43.8,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,,,Apr-25
2020-02,2020-02-29,37.9,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,-13.470319634703198,,Apr-25
2020-03,2020-03-31,34.5,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,-8.970976253298147,,Apr-25
2020-04,2020-04-30,14.9,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,-56.811594202898554,,Apr-25
2020-05,2020-05-31,20.3,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,36.24161073825503,,Apr-25
2020-06,2020-06-30,25.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,26.108374384236456,,Apr-25
2020-07,2020-07-31,28.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,11.71875,,Apr-25
2020-08,2020-08-31,22.7,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,-20.629370629370637,,Apr-25
2020-09,2020-09-30,33.1,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,45.81497797356828,,Apr-25
2020-10,2020-10-31,39.1,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.,False,18.126888217522662,,Apr-25
