Month,Date,value,source,indicator_id,unit,preferred_direction,description,monthly_change,yoy_change
2020-01,2020-01-31,53.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",,
2020-02,2020-02-29,57.3,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",8.113207547169798,
2020-03,2020-03-31,65.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",13.438045375218156,
2020-04,2020-04-30,76.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",16.92307692307693,
2020-05,2020-05-31,68.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-10.394736842105267,
2020-06,2020-06-30,57.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-16.299559471365633,
2020-07,2020-07-31,55.9,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-1.9298245614035148,
2020-08,2020-08-31,58.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",4.114490161001805,
2020-09,2020-09-30,59.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",1.3745704467353903,
2020-10,2020-10-31,60.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.5423728813559254,
2020-11,2020-11-30,61.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",1.983471074380172,
2020-12,2020-12-31,67.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",9.724473257698541,
2021-01,2021-01-31,68.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",0.7385524372230501,28.679245283018883
2021-02,2021-02-28,72.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",5.571847507331373,25.654450261780106
2021-03,2021-03-31,76.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",6.527777777777777,17.999999999999993
2021-04,2021-04-30,75.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-2.2164276401564598,-1.3157894736842146
2021-05,2021-05-31,78.8,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",5.066666666666664,15.712187958884005
2021-06,2021-06-30,75.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.695431472081224,31.754385964912267
2021-07,2021-07-31,72.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-3.462050599201061,29.695885509838995
2021-08,2021-08-31,69.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.0000000000000036,19.587628865979354
2021-09,2021-09-30,73.4,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",5.4597701149425415,24.406779661016962
2021-10,2021-10-31,75.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.9972752043596618,24.958677685950413
2021-11,2021-11-30,72.3,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-4.36507936507936,17.179902755267417
2021-12,2021-12-31,65.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-10.096818810511754,-3.9881831610044327
2022-01,2022-01-31,64.6,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-0.6153846153846287,-5.278592375366586
2022-02,2022-02-28,66.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.3219814241486114,-8.194444444444448
2022-03,2022-03-31,65.4,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-1.0590015128592922,-14.732724902216422
2022-04,2022-04-30,67.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",2.752293577981657,-10.399999999999999
2022-05,2022-05-31,65.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-2.2321428571428603,-16.624365482233493
2022-06,2022-06-30,57.3,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries.",-12.785388127853892,-23.7017310252996
