Month,Date,value,source,indicator_id,unit,preferred_direction,country,monthly_change,yoy_change
2023-05,2023-05-12,307.9752130719677,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,,
2023-06,2023-06-11,311.1888903458205,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,1.043485688928425,
2023-07,2023-07-11,309.82908219542304,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.436971946166298,
2023-08,2023-08-10,314.42280011713484,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,1.482661953216624,
2023-09,2023-09-09,314.84148747769876,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.13316062334154388,
2023-10,2023-10-09,316.30167638120855,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.4637854163400901,
2023-11,2023-11-08,314.02416771232856,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.7200431862824264,
2023-12,2023-12-08,313.9609321841597,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.020137153337451696,
2024-01,2024-01-07,312.52197692919697,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.4583230292228402,
2024-02,2024-02-06,317.7973534816574,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,1.6880017860809726,
2024-03,2024-03-07,317.43320380384915,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.11458549727326739,
2024-04,2024-04-06,315.6537307394096,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.5605818934868445,
2024-05,2024-05-06,321.2641213772974,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,1.7773877168331342,4.314927871232399
2024-06,2024-06-05,320.1147831626196,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.3577549244373923,2.868319883425108
2024-07,2024-07-05,322.9149464812213,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.8747372710929291,4.223575202519059
2024-08,2024-08-04,319.91717432292984,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.9283472911235435,1.7474477689748191
2024-09,2024-09-03,320.53866404956557,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.19426582144301818,1.809538068667127
2024-10,2024-10-03,323.6218088133849,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.9618636094841371,2.3142882187428215
2024-11,2024-11-02,321.6232195696601,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.617569394056916,2.4198939567902533
2024-12,2024-12-02,322.9591426592041,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.4153689809247796,2.8660287165176213
2025-01,2025-01-31,323.1282629015318,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,0.0523658320787046,3.393772840089815
2025-03,2025-03-02,322.261538720001,PPI CANADA - SAMPLE DATA,ppi_canada,,neutral,CANADA,-0.2682291464535025,1.4047270027380154
