Month,Date,value,source,indicator_id,unit,preferred_direction,country,monthly_change,yoy_change
2023-05,2023-05-12,292.3813357324819,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,,
2023-06,2023-06-11,292.5529856595102,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.058707552791736894,
2023-07,2023-07-11,290.9423574994453,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.5505423766002826,
2023-08,2023-08-10,289.4257191808463,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.5212848110649926,
2023-09,2023-09-09,293.08844533487326,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,1.265515091192837,
2023-10,2023-10-09,290.9722487516746,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.7220334396945471,
2023-11,2023-11-08,293.2546190861877,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.7843945064537561,
2023-12,2023-12-08,293.3731713176461,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.04042638162966572,
2024-01,2024-01-07,297.0568387073037,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,1.2556251729198387,
2024-02,2024-02-06,292.6960109060479,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-1.4680112466801787,
2024-03,2024-03-07,295.5870541449565,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.9877289512622012,
2024-04,2024-04-06,294.35167241032485,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.4179417593930923,
2024-05,2024-05-06,293.7124777410081,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.21715340160380903,0.4552759857914479
2024-06,2024-06-05,295.78046331941505,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.7040850270687127,1.1032113217470885
2024-07,2024-07-05,300.66878043003135,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,1.6526842428187694,3.3430755886428853
2024-08,2024-08-04,297.8215101580924,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.9469790205243966,2.9008448181483404
2024-09,2024-09-03,295.9812033361422,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.6179227353233507,0.9869914857829842
2024-10,2024-10-03,296.31387731311696,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.11239699454730356,1.8357862594659657
2024-11,2024-11-02,297.2422315990343,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,0.3133009814914489,1.3597782450187612
2024-12,2024-12-02,300.883093488198,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,1.2248804180945205,2.559853082959873
2025-01,2025-01-31,299.64683470824326,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.41087678460846044,0.8718856674737374
2025-03,2025-03-02,298.3151735786822,PPI CHINA - SAMPLE DATA,ppi_china,,neutral,CHINA,-0.4444102107261205,1.9197947574482122
