Month,Date,value,source,indicator_id,unit,preferred_direction,description,is_latest,monthly_change,yoy_change,monthly_change_pct,yoy_change_pct,last_updated_date
2020-01,2020-01-31,0.07,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,,,,,Mar-25
2020-02,2020-02-29,1.28,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,1.21,,,,Mar-25
2020-03,2020-03-31,2.64,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,1.36,,,,Mar-25
2020-04,2020-04-30,3.33,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.69,,,,Mar-25
2020-05,2020-05-31,2.53,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.8000000000000003,,,,Mar-25
2020-06,2020-06-30,2.25,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.2799999999999998,,,,Mar-25
2020-07,2020-07-31,2.96,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.71,,61.045904581442635,,Mar-25
2020-08,2020-08-31,1.49,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-1.47,,-131.25099650369563,,Mar-25
2020-09,2020-09-30,0.63,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.86,,-80.90666152409615,,Mar-25
2020-10,2020-10-31,0.12,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.51,,-46.1990616321651,,Mar-25
2020-11,2020-11-30,0.76,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.64,,54.027305462455985,,Mar-25
2020-12,2020-12-31,1.69,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.9299999999999999,,80.08745629182351,,Mar-25
2021-01,2021-01-31,1.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.34999999999999987,1.27,-31.609066674313567,,Mar-25
2021-02,2021-02-28,1.96,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.6199999999999999,0.6799999999999999,62.10576395453187,,Mar-25
2021-03,2021-03-31,2.28,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.31999999999999984,-0.3600000000000003,32.377535231515445,,Mar-25
2021-04,2021-04-30,2.78,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.5,-0.5500000000000003,51.75920238672344,,Mar-25
2021-05,2021-05-31,3.06,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.28000000000000025,0.5300000000000002,31.24213117895314,,Mar-25
2021-06,2021-06-30,2.79,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.27,0.54,-28.405653421041844,46.42927954081553,Mar-25
2021-07,2021-07-31,2.96,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.16999999999999993,0.0,17.223181427795424,0.0,Mar-25
2021-08,2021-08-31,3.32,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.3599999999999999,1.8299999999999998,36.472619494155026,172.16184952220456,Mar-25
2021-09,2021-09-30,3.39,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.07000000000000028,2.7600000000000002,6.547571506452889,250.0184511858347,Mar-25
2021-10,2021-10-31,3.94,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.5499999999999998,3.82,52.36327066379249,322.47547947903416,Mar-25
2021-11,2021-11-30,4.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.3999999999999999,3.58,42.84193800858805,308.2936489513206,Mar-25
2021-12,2021-12-31,4.43,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.08999999999999986,2.7399999999999998,10.109580110415967,247.4538362503406,Mar-25
2022-01,2022-01-31,3.72,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.7099999999999995,2.38,-76.79341393326472,238.40599711578366,Mar-25
2022-02,2022-02-28,2.82,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.9000000000000004,0.8599999999999999,-117.44518022544155,87.01462593469778,Mar-25
2022-03,2022-03-31,2.87,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.050000000000000266,0.5900000000000003,7.47390177305742,61.075858816333685,Mar-25
2022-04,2022-04-30,3.56,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.69,0.7800000000000002,114.19586633897967,87.03165114136941,Mar-25
2022-05,2022-05-31,2.77,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.79,-0.29000000000000004,-137.03397629964226,-30.509775896674572,Mar-25
2022-06,2022-06-30,2.44,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.33000000000000007,-0.3500000000000001,-55.07312009394235,-35.45949117487296,Mar-25
2022-07,2022-07-31,1.84,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.5999999999999999,-1.1199999999999999,-93.85838635839877,-113.47037175959345,Mar-25
2022-08,2022-08-31,1.53,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.31000000000000005,-1.7899999999999998,-40.06374743790541,-167.43075709358033,Mar-25
2022-09,2022-09-30,1.03,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.5,-2.3600000000000003,-54.077760240730164,-224.68603412100063,Mar-25
2022-10,2022-10-31,1.14,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.10999999999999988,-2.8,9.997261956398127,-299.8935660601164,Mar-25
2022-11,2022-11-30,1.27,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.13000000000000012,-3.07,11.166598454499324,-344.84901043307855,Mar-25
2022-12,2022-12-31,1.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,0.07000000000000006,-3.09,6.312955137935668,-334.213590216603,Mar-25
2023-01,2023-01-31,1.09,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.25,-2.63,-26.153755251298033,-343.200915547679,Mar-25
2023-02,2023-02-28,-0.21,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-1.3,-3.03,-149.07119849998585,-452.91844744727723,Mar-25
2023-03,2023-03-31,-1.14,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.,False,-0.9299999999999999,-4.01,-90.32716437069922,-663.6600348105919,Mar-25
