Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description,yearly_adjustment
2020-01-01,132.17200000000003,,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-02-01,131.602,-0.4312562418666732,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-03-01,130.522,-0.8206562210300805,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-04-01,127.722,-2.1452322213879604,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-05-01,127.078,-0.5042201030362792,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-06-01,128.25799999999998,0.9285635593887065,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-07-01,128.728,0.36644887648336066,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-08-01,128.075,-0.507271145360777,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-09-01,128.155,0.06246340035136466,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-10-01,128.89499999999998,0.5774257734774135,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-11-01,130.72899999999998,1.422863571123778,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
2020-12-01,135.04899999999998,3.3045460456363918,,Caterpillar Equipment (Composite),caterpillar_equipment,Index,down,Composite cost index for Caterpillar Equipment based on weighted BLS PPI components,4.351487053767045
