Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-01,140.10525654657155,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-02-01,141.5218147585242,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-03-01,143.79948091247775,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-04-01,144.14080488561595,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-05-01,143.22699700942516,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-06-01,140.21950844934008,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-07-01,139.71006305388832,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-08-01,139.9362746533087,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-09-01,140.6659094285327,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-10-01,138.88394251022982,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-11-01,139.62526548559566,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2020-12-01,141.08527049696468,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-01-01,143.62825343731961,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-02-01,146.2643729572087,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-03-01,150.06587920845678,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-04-01,152.8732207029753,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-05-01,157.17694083664097,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-06-01,161.50428735611345,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-07-01,162.2414543140695,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-08-01,162.40054572949137,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-09-01,160.94918079747157,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-10-01,161.30812963884847,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-11-01,161.21481776667284,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2021-12-01,160.3426789452385,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-01-01,158.3740588813823,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-02-01,158.19955933398316,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-03-01,158.49878372399442,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-04-01,158.7294031474662,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-05-01,160.38797973558536,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-06-01,161.64174204679813,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-07-01,162.043311240294,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-08-01,160.42083004240828,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-09-01,158.4198246551293,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-10-01,155.995845174262,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-11-01,152.87255473941622,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2022-12-01,151.976324820229,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
2023-01-01,153.58594322523115,CRUspi Long Products - SAMPLE DATA,cruspi_long,Index,neutral,CRU Steel Price Index for Long Products tracks price movements for steel long products globally (SAMPLE DATA)
