Date,value,source,indicator_id,unit,preferred_direction,description
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2022-08-01,12325.011999999999,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
2022-09-01,11985.373333333333,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
2022-10-01,11978.282666666668,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
2022-11-01,11735.030666666667,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
2022-12-01,11328.318666666666,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
2023-01-01,12527.607894736842,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
2023-02-01,13145.344736842104,CRUspi (CRU API - Synthetic from Prices),cruspi,Index,neutral,CRU Steel Price Index (synthesized from price data) tracks steel price movements globally
