Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-01,96.445,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-02,96.846,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-03,96.838,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-06,96.671,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-07,97.005,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-08,97.299,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-09,97.45,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-10,97.356,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-13,97.345,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-14,97.372,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-15,97.229,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-16,97.32,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-17,97.606,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-20,97.606,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-21,97.531,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-22,97.527,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-23,97.693,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-24,97.853,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-27,97.956,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-28,98.018,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-29,97.991,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-30,97.867,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-01-31,97.39,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-03,97.8,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-04,97.961,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-05,98.301,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-06,98.496,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-07,98.684,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-10,98.832,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-11,98.721,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-12,99.049,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-13,99.067,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-14,99.124,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-17,99.003,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-18,99.44,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-19,99.705,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-20,99.865,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-21,99.262,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-24,99.359,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-25,98.968,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-26,98.996,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-27,98.508,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-02-28,98.132,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-02,97.36,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-03,97.153,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-04,97.336,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-05,96.82,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-06,95.951,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-09,94.895,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-10,96.414,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-11,96.507,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-12,97.468,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-13,98.749,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-16,98.069,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-17,99.575,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-18,101.16,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-19,102.755,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-20,102.817,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-23,102.487,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-24,102.039,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-25,101.05,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-26,99.352,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-27,98.365,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-30,99.181,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-03-31,99.048,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-01,99.673,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-02,100.18,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-03,100.576,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-06,100.685,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-07,99.9,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-08,100.119,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-09,99.517,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-10,99.482,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-13,99.348,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
2020-04-14,98.887,US Dollar Index (DXY Curncy),dollar_index,,neutral,The US Dollar Index measures the value of the US dollar relative to a basket of foreign currencies. A higher index indicates a stronger dollar relative to other major currencies.
