Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-31,43.8,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-02-29,37.9,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-03-31,34.5,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-04-30,14.9,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-05-31,20.3,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-06-30,25.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-07-31,28.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-08-31,22.7,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-09-30,33.1,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-10-31,39.1,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-11-30,46.4,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2020-12-31,48.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-01-31,49.0,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-02-28,55.8,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-03-31,64.4,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-04-30,71.2,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-05-31,67.1,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-06-30,64.0,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-07-31,64.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-08-31,66.4,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-09-30,61.7,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-10-31,67.6,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-11-30,72.0,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
2021-12-31,66.1,NY Fed Empire State Manufacturing 6M Ahead Prices Paid (EMPR6PAY Index),empire_prices_paid,,down,Empire State Manufacturing Survey 6-Month Ahead Prices Paid measures future inflation expectations in the NY manufacturing sector. Values reflect expected price changes over the next 6 months.
