Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description,yearly_adjustment
2020-01-01,100.3679938783311,,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-02-01,100.8330981803398,0.4633990219755857,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-03-01,100.9971712704694,0.16271749365088795,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-04-01,100.42622930816546,-0.5653049042086078,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-05-01,99.93346890917451,-0.4906690238054012,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-06-01,99.46382393459416,-0.46995764252634187,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-07-01,99.79318820399557,0.3311397615458622,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-08-01,100.3278527341992,0.5357725710803729,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-09-01,100.63400722649904,0.3051540364478189,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-10-01,100.90335733346535,0.26765316654844273,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-11-01,101.30357691282055,0.39663653413686273,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2020-12-01,101.45792106904767,0.15235805183853035,,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
2021-01-01,103.11365418835703,1.631940711837121,2.735593493434063,Explosives & Accessories (SAMPLE DATA),explosives,Index,down,SAMPLE DATA - Composite cost index for Explosives & Accessories based on weighted BLS PPI components,4.04
