Date,PX_LAST,source
2023-01-03,1250.0,Baltic Dry Index (Freight Proxy)
2023-01-04,1176.0,Baltic Dry Index (Freight Proxy)
2023-01-05,1146.0,Baltic Dry Index (Freight Proxy)
2023-01-06,1130.0,Baltic Dry Index (Freight Proxy)
2023-01-09,1139.0,Baltic Dry Index (Freight Proxy)
2023-01-10,1096.0,Baltic Dry Index (Freight Proxy)
2023-01-11,1043.0,Baltic Dry Index (Freight Proxy)
2023-01-12,976.0,Baltic Dry Index (Freight Proxy)
2023-01-13,946.0,Baltic Dry Index (Freight Proxy)
2023-01-16,946.0,Baltic Dry Index (Freight Proxy)
2023-01-17,921.0,Baltic Dry Index (Freight Proxy)
2023-01-18,874.0,Baltic Dry Index (Freight Proxy)
2023-01-19,801.0,Baltic Dry Index (Freight Proxy)
2023-01-20,763.0,Baltic Dry Index (Freight Proxy)
2023-01-23,740.0,Baltic Dry Index (Freight Proxy)
2023-01-24,721.0,Baltic Dry Index (Freight Proxy)
2023-01-25,703.0,Baltic Dry Index (Freight Proxy)
2023-01-26,677.0,Baltic Dry Index (Freight Proxy)
2023-01-27,676.0,Baltic Dry Index (Freight Proxy)
2023-01-30,680.0,Baltic Dry Index (Freight Proxy)
2023-01-31,681.0,Baltic Dry Index (Freight Proxy)
2023-02-01,668.0,Baltic Dry Index (Freight Proxy)
2023-02-02,640.0,Baltic Dry Index (Freight Proxy)
2023-02-03,621.0,Baltic Dry Index (Freight Proxy)
2023-02-06,608.0,Baltic Dry Index (Freight Proxy)
2023-02-07,601.0,Baltic Dry Index (Freight Proxy)
2023-02-08,603.0,Baltic Dry Index (Freight Proxy)
2023-02-09,592.0,Baltic Dry Index (Freight Proxy)
2023-02-10,602.0,Baltic Dry Index (Freight Proxy)
2023-02-13,616.0,Baltic Dry Index (Freight Proxy)
2023-02-14,563.0,Baltic Dry Index (Freight Proxy)
2023-02-15,541.0,Baltic Dry Index (Freight Proxy)
2023-02-16,530.0,Baltic Dry Index (Freight Proxy)
2023-02-17,538.0,Baltic Dry Index (Freight Proxy)
2023-02-20,552.0,Baltic Dry Index (Freight Proxy)
2023-02-21,594.0,Baltic Dry Index (Freight Proxy)
2023-02-22,674.0,Baltic Dry Index (Freight Proxy)
2023-02-23,816.0,Baltic Dry Index (Freight Proxy)
2023-02-24,883.0,Baltic Dry Index (Freight Proxy)
2023-02-27,935.0,Baltic Dry Index (Freight Proxy)
2023-02-28,990.0,Baltic Dry Index (Freight Proxy)
2023-03-01,1099.0,Baltic Dry Index (Freight Proxy)
2023-03-02,1145.0,Baltic Dry Index (Freight Proxy)
2023-03-03,1211.0,Baltic Dry Index (Freight Proxy)
2023-03-06,1258.0,Baltic Dry Index (Freight Proxy)
2023-03-07,1298.0,Baltic Dry Index (Freight Proxy)
2023-03-08,1327.0,Baltic Dry Index (Freight Proxy)
2023-03-09,1379.0,Baltic Dry Index (Freight Proxy)
2023-03-10,1424.0,Baltic Dry Index (Freight Proxy)
2023-03-13,1465.0,Baltic Dry Index (Freight Proxy)
2023-03-14,1587.0,Baltic Dry Index (Freight Proxy)
2023-03-15,1603.0,Baltic Dry Index (Freight Proxy)
2023-03-16,1560.0,Baltic Dry Index (Freight Proxy)
2023-03-17,1535.0,Baltic Dry Index (Freight Proxy)
2023-03-20,1542.0,Baltic Dry Index (Freight Proxy)
2023-03-21,1512.0,Baltic Dry Index (Freight Proxy)
2023-03-22,1456.0,Baltic Dry Index (Freight Proxy)
2023-03-23,1484.0,Baltic Dry Index (Freight Proxy)
2023-03-24,1489.0,Baltic Dry Index (Freight Proxy)
2023-03-27,1456.0,Baltic Dry Index (Freight Proxy)
2023-03-28,1402.0,Baltic Dry Index (Freight Proxy)
2023-03-29,1407.0,Baltic Dry Index (Freight Proxy)
2023-03-30,1403.0,Baltic Dry Index (Freight Proxy)
2023-03-31,1389.0,Baltic Dry Index (Freight Proxy)
2023-04-03,1412.0,Baltic Dry Index (Freight Proxy)
2023-04-04,1473.0,Baltic Dry Index (Freight Proxy)
2023-04-05,1525.0,Baltic Dry Index (Freight Proxy)
2023-04-06,1560.0,Baltic Dry Index (Freight Proxy)
2023-04-11,1507.0,Baltic Dry Index (Freight Proxy)
2023-04-12,1463.0,Baltic Dry Index (Freight Proxy)
2023-04-13,1463.0,Baltic Dry Index (Freight Proxy)
2023-04-14,1435.0,Baltic Dry Index (Freight Proxy)
2023-04-17,1412.0,Baltic Dry Index (Freight Proxy)
2023-04-18,1368.0,Baltic Dry Index (Freight Proxy)
2023-04-19,1372.0,Baltic Dry Index (Freight Proxy)
2023-04-20,1432.0,Baltic Dry Index (Freight Proxy)
2023-04-21,1504.0,Baltic Dry Index (Freight Proxy)
2023-04-24,1517.0,Baltic Dry Index (Freight Proxy)
2023-04-25,1510.0,Baltic Dry Index (Freight Proxy)
2023-04-26,1536.0,Baltic Dry Index (Freight Proxy)
2023-04-27,1581.0,Baltic Dry Index (Freight Proxy)
2023-04-28,1576.0,Baltic Dry Index (Freight Proxy)
2023-05-02,1552.0,Baltic Dry Index (Freight Proxy)
2023-05-03,1558.0,Baltic Dry Index (Freight Proxy)
2023-05-04,1545.0,Baltic Dry Index (Freight Proxy)
2023-05-05,1558.0,Baltic Dry Index (Freight Proxy)
2023-05-09,1598.0,Baltic Dry Index (Freight Proxy)
2023-05-10,1640.0,Baltic Dry Index (Freight Proxy)
2023-05-11,1608.0,Baltic Dry Index (Freight Proxy)
2023-05-12,1558.0,Baltic Dry Index (Freight Proxy)
2023-05-15,1522.0,Baltic Dry Index (Freight Proxy)
2023-05-16,1476.0,Baltic Dry Index (Freight Proxy)
2023-05-17,1425.0,Baltic Dry Index (Freight Proxy)
2023-05-18,1402.0,Baltic Dry Index (Freight Proxy)
2023-05-19,1384.0,Baltic Dry Index (Freight Proxy)
2023-05-22,1365.0,Baltic Dry Index (Freight Proxy)
2023-05-23,1348.0,Baltic Dry Index (Freight Proxy)
2023-05-24,1295.0,Baltic Dry Index (Freight Proxy)
2023-05-25,1215.0,Baltic Dry Index (Freight Proxy)
2023-05-26,1172.0,Baltic Dry Index (Freight Proxy)
2023-05-30,1123.0,Baltic Dry Index (Freight Proxy)
2023-05-31,977.0,Baltic Dry Index (Freight Proxy)
2023-06-01,937.0,Baltic Dry Index (Freight Proxy)
2023-06-02,919.0,Baltic Dry Index (Freight Proxy)
2023-06-05,939.0,Baltic Dry Index (Freight Proxy)
2023-06-06,1016.0,Baltic Dry Index (Freight Proxy)
2023-06-07,1020.0,Baltic Dry Index (Freight Proxy)
2023-06-08,1040.0,Baltic Dry Index (Freight Proxy)
2023-06-09,1055.0,Baltic Dry Index (Freight Proxy)
2023-06-12,1056.0,Baltic Dry Index (Freight Proxy)
2023-06-13,1074.0,Baltic Dry Index (Freight Proxy)
2023-06-14,1079.0,Baltic Dry Index (Freight Proxy)
2023-06-15,1094.0,Baltic Dry Index (Freight Proxy)
2023-06-16,1076.0,Baltic Dry Index (Freight Proxy)
2023-06-19,1065.0,Baltic Dry Index (Freight Proxy)
2023-06-20,1078.0,Baltic Dry Index (Freight Proxy)
2023-06-21,1138.0,Baltic Dry Index (Freight Proxy)
2023-06-22,1216.0,Baltic Dry Index (Freight Proxy)
2023-06-23,1240.0,Baltic Dry Index (Freight Proxy)
2023-06-26,1233.0,Baltic Dry Index (Freight Proxy)
2023-06-27,1183.0,Baltic Dry Index (Freight Proxy)
2023-06-28,1138.0,Baltic Dry Index (Freight Proxy)
2023-06-29,1112.0,Baltic Dry Index (Freight Proxy)
2023-06-30,1091.0,Baltic Dry Index (Freight Proxy)
