Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-31,53.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-02-29,57.3,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-03-31,65.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-04-30,76.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-05-31,68.1,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-06-30,57.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-07-31,55.9,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-08-31,58.2,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-09-30,59.0,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-10-31,60.5,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
2020-11-30,61.7,ISM Supplier Deliveries Index (NAPMSUPL Index),ism_supplier_deliveries,,down,"ISM Manufacturing Report on Business Supplier Deliveries Index tracks the speed of deliveries. Values above 50 indicate slower deliveries, values below 50 indicate faster deliveries."
