Date,ppi_labor/compensation,weight_ppi_labor/compensation,ppi_steel_mill_products,weight_ppi_steel_mill_products,ppi_industrial_commodities_less_fuel,weight_ppi_industrial_commodities_less_fuel,ppi_fuel_products,weight_ppi_fuel_products,value,weighted_ppi_labor/compensation,weighted_ppi_steel_mill_products,weighted_ppi_industrial_commodities_less_fuel,weighted_ppi_fuel_products,source,indicator_id,unit,preferred_direction,description,monthly_change,yoy_change,yearly_adjustment
2020-01-01,35.34,0.3,187.3,0.35,207.2,0.3,163.6,0.05,146.497,10.602,65.555,62.16,8.18,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,,,4.824615129670207
2020-02-01,35.34,0.3,187.4,0.35,207.1,0.3,154.9,0.05,146.067,10.602,65.59,62.129999999999995,7.745000000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-0.2935213690382743,,4.824615129670207
2020-03-01,35.34,0.3,188.7,0.35,207.1,0.3,140.2,0.05,145.78699999999998,10.602,66.04499999999999,62.129999999999995,7.01,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-0.1916928532796791,,4.824615129670207
2020-04-01,35.34,0.3,187.4,0.35,205.2,0.3,116.1,0.05,143.55700000000002,10.602,65.59,61.559999999999995,5.805,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-1.5296288420778015,,4.824615129670207
2020-05-01,35.96,0.3,182.6,0.35,204.4,0.3,122.2,0.05,142.12800000000001,10.788,63.91,61.32,6.11,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-0.9954234206621781,,4.824615129670207
2020-06-01,35.96,0.3,181.5,0.35,205.0,0.3,137.3,0.05,142.678,10.788,63.525,61.5,6.865000000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,0.38697512101766307,,4.824615129670207
2020-07-01,35.96,0.3,180.8,0.35,205.8,0.3,144.4,0.05,143.028,10.788,63.28,61.74,7.220000000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,0.24530761575014548,,4.824615129670207
2020-08-01,35.95,0.3,177.6,0.35,207.0,0.3,147.5,0.05,142.42,10.785,62.16,62.099999999999994,7.375,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-0.42509159045781564,,4.824615129670207
2020-09-01,35.95,0.3,177.7,0.35,208.1,0.3,147.7,0.05,142.79499999999996,10.785,62.19499999999999,62.42999999999999,7.385,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,0.2633057154893814,,4.824615129670207
2020-10-01,35.95,0.3,180.5,0.35,208.7,0.3,146.4,0.05,143.89,10.785,63.175,62.60999999999999,7.32,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,0.7668335726040976,,4.824615129670207
2020-11-01,36.23,0.3,184.8,0.35,209.2,0.3,151.0,0.05,145.859,10.868999999999998,64.68,62.75999999999999,7.550000000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,1.3684064215720548,,4.824615129670207
2020-12-01,36.23,0.3,197.2,0.35,211.5,0.3,157.0,0.05,151.189,10.868999999999998,69.02,63.449999999999996,7.8500000000000005,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,3.6542140011929236,,4.824615129670207
2021-01-01,36.23,0.3,208.0,0.35,214.9,0.3,163.1,0.05,156.294,10.868999999999998,72.8,64.47,8.155,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,3.376568401140312,6.687508959227828,4.824615129670207
2021-02-01,36.64,0.3,228.8,0.35,217.5,0.3,179.0,0.05,165.272,10.991999999999999,80.08,65.25,8.950000000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,5.7443024044429025,13.14807588298519,4.824615129670207
2021-03-01,36.64,0.3,266.4,0.35,221.5,0.3,185.5,0.05,179.957,10.991999999999999,93.23999999999998,66.45,9.275,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,8.885352630814669,23.438303826815844,4.824615129670207
2021-04-01,36.64,0.3,310.2,0.35,225.9,0.3,181.4,0.05,196.402,10.991999999999999,108.57,67.77,9.07,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,9.138294148046477,36.81116211678983,4.824615129670207
2021-05-01,36.64,0.3,321.8,0.35,230.5,0.3,191.9,0.05,202.367,10.991999999999999,112.63,69.14999999999999,9.595,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,3.0371381146831578,42.38362602724304,4.824615129670207
2021-06-01,36.64,0.3,343.4,0.35,234.0,0.3,198.7,0.05,211.317,10.991999999999999,120.18999999999998,70.2,9.935,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,4.422657844411404,48.10762696421313,4.824615129670207
2021-07-01,36.64,0.3,380.189,0.35,236.539,0.3,208.007,0.05,225.42019999999997,10.991999999999999,133.06615,70.9617,10.400350000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,6.673954296152207,57.60564365019436,4.824615129670207
2021-08-01,37.24,0.3,399.074,0.35,238.534,0.3,207.026,0.05,232.7594,11.172,139.67589999999998,71.5602,10.351300000000002,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,3.255786304865338,63.431680943687695,4.824615129670207
2021-09-01,37.24,0.3,418.472,0.35,240.004,0.3,212.739,0.05,240.27535,11.172,146.46519999999998,72.0012,10.63695,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,3.2290640034301488,68.26594068419767,4.824615129670207
2021-10-01,37.24,0.3,435.669,0.35,242.825,0.3,227.183,0.05,247.86279999999996,11.172,152.48414999999997,72.8475,11.35915,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,3.15781456566393,72.2585308221558,4.824615129670207
2021-11-01,38.07,0.3,448.746,0.35,245.549,0.3,229.943,0.05,253.64395,11.421,157.06109999999998,73.6647,11.497150000000001,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,2.332399214404113,73.89667418534336,4.824615129670207
2021-12-01,38.07,0.3,449.711,0.35,246.483,0.3,216.915,0.05,253.6105,11.421,157.39884999999998,73.9449,10.84575,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-0.013187777591383565,67.74401576834295,4.824615129670207
2022-01-01,38.07,0.3,441.497,0.35,249.774,0.3,226.762,0.05,252.21524999999997,11.421,154.52394999999999,74.9322,11.3381,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-0.5501546663091772,61.37231755537638,4.824615129670207
2022-02-01,38.61,0.3,400.067,0.35,251.33,0.3,244.941,0.05,239.2525,11.583,140.02345,75.399,12.247050000000002,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-5.139558373254582,44.762875744227706,4.824615129670207
2022-03-01,38.61,0.3,376.596,0.35,254.556,0.3,261.558,0.05,232.8363,11.583,131.80859999999998,76.3668,13.0779,Komatsu Heavy Equipment (Composite),komatsu_equipment,Index,down,Composite cost index for Komatsu Heavy Equipment based on weighted BLS PPI components,-2.6817692605092924,29.384408497585547,4.824615129670207
