Date,value,source,indicator_id,unit,preferred_direction,country
2023-05-12,52.669528759042166,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-06-11,52.18511025397884,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-07-11,53.57740373017315,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-08-10,51.87543255185647,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-09-09,51.33227098101915,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-10-09,53.88928033679667,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-11-08,51.825614905868335,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2023-12-08,52.98205710575009,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-01-07,51.272624068863436,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-02-06,53.08189962993189,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-03-07,54.709452864654295,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-04-06,53.25813796990589,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-05-06,51.84973961730377,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-06-05,52.72146755109166,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-07-05,52.9848446596896,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-08-04,54.997308139624494,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-09-03,55.324572299201236,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-10-03,54.644153626061744,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-11-02,53.481258059208194,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2024-12-02,53.48530364602331,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2025-01-01,53.92154719045014,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2025-01-31,54.661401881005496,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2025-03-02,53.61992626800418,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
2025-04-01,53.833485373930365,PMI Input Prices CHINA - SAMPLE DATA,pmi_input_china,,down,CHINA
