Date,value,source,indicator_id,unit,preferred_direction,country
2023-05-12,60.36608530786845,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-06-11,58.60975303078891,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-07-11,61.64525819278546,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-08-10,61.61614948117038,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-09-09,57.67963397458721,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-10-09,58.0893806359402,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-11-08,57.92957818034436,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2023-12-08,57.81522678532297,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-01-07,58.39921559627644,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-02-06,59.90693265923469,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-03-07,57.258383254174376,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-04-06,56.718374813731735,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-05-06,58.93007422222746,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-06-05,56.95065062926849,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-07-05,57.474084415854996,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-08-04,57.10826363965761,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-09-03,56.36989766737933,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-10-03,56.08896938499676,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-11-02,57.06332513873942,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2024-12-02,55.8158716300772,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2025-01-01,56.48680202805954,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2025-01-31,56.27714195440543,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2025-03-02,55.44464704344386,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
2025-04-01,57.544590919427975,PMI Input Prices US - SAMPLE DATA,pmi_input_us,,down,US
