Date,value,source,indicator_id,unit,preferred_direction,country
2023-05-12,297.28357834662853,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-06-11,301.32483240353406,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-07-11,303.9924365425942,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-08-10,301.2810982914439,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-09-09,303.1200965226099,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-10-09,299.3159429086768,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-11-08,303.6196671337948,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2023-12-08,305.64741339085106,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-01-07,305.6087036645888,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-02-06,305.6089674972173,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-03-07,306.5340645109599,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-04-06,305.0241640292293,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-05-06,302.9628834939261,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-06-05,309.6649499766048,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-07-05,308.14611944100693,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-08-04,310.14479280451195,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-09-03,310.09637236105897,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-10-03,311.5715511269444,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-11-02,310.95617692000457,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2024-12-02,312.51829787145374,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2025-01-01,314.7396258524662,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2025-01-31,312.1579885639959,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2025-03-02,316.703359199595,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
2025-04-01,314.2678112803765,PPI PERU - SAMPLE DATA,ppi_peru,,neutral,PERU
