Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-01,403.0268989360219,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-02-01,407.9314952949083,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-03-01,406.36960768245297,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-04-01,397.7646423625529,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-05-01,401.04199174867205,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-06-01,416.3762857053596,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-07-01,429.5292943436701,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-08-01,432.6139944949972,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-09-01,433.39911765462847,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-10-01,436.82488793373557,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-11-01,427.1433590395176,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2020-12-01,432.8714201894739,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-01-01,446.9147511457951,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-02-01,468.30286791010246,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-03-01,496.13157863720863,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-04-01,530.9301418310876,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-05-01,558.6325182366994,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-06-01,569.65559929551,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-07-01,576.7003132334643,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-08-01,579.2365972726591,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-09-01,578.7192640151613,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-10-01,571.9197764345201,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-11-01,570.4707658460734,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2021-12-01,565.8251841862522,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-01-01,564.5322519131083,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-02-01,567.9592290104337,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-03-01,578.8611880009247,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-04-01,578.7234774946528,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-05-01,578.7246260155227,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-06-01,574.7196218985076,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-07-01,565.8737908303127,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-08-01,553.3437279542387,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-09-01,536.5574719455864,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-10-01,511.9907038506161,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-11-01,492.51461745015445,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2022-12-01,475.19060339115947,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-01-01,475.4451189381857,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-02-01,472.34988763011836,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-03-01,489.8147633150201,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-04-01,505.18161834773264,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-05-01,513.8331290395647,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-06-01,516.0820587798999,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-07-01,515.080426638964,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-08-01,507.48249165414626,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-09-01,507.5545277414865,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-10-01,502.47795502249915,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-11-01,491.4299291946619,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2023-12-01,490.61578611861506,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2024-01-01,493.84773214459,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2024-02-01,499.5676710262166,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2024-03-01,499.1985343211485,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2024-04-01,491.24857091030174,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
2024-05-01,510.26678328146534,BLS PPI Carbon Steel Scrap (WPU101211) - SAMPLE DATA,ppi_steel_scrap,Index,neutral,Producer Price Index for Metals and Metal Products: Carbon Steel Scrap
