year,period,periodName,latest,value,footnotes,date,series_id
2023,M01,January,,160.907,[{}],2023-01-01,WPU3012
2023,M02,February,,159.458,[{}],2023-02-01,WPU3012
2023,M03,March,,156.856,[{}],2023-03-01,WPU3012
2023,M04,April,,152.204,[{}],2023-04-01,WPU3012
2023,M05,May,,151.443,[{}],2023-05-01,WPU3012
2023,M06,June,,150.286,[{}],2023-06-01,WPU3012
2023,M07,July,,149.179,[{}],2023-07-01,WPU3012
2023,M08,August,,150.033,[{}],2023-08-01,WPU3012
2023,M09,September,,152.381,[{}],2023-09-01,WPU3012
2023,M10,October,,152.552,[{}],2023-10-01,WPU3012
2023,M11,November,,152.226,[{}],2023-11-01,WPU3012
2023,M12,December,,149.834,[{}],2023-12-01,WPU3012
2024,M01,January,,149.573,[{}],2024-01-01,WPU3012
2024,M02,February,,150.627,[{}],2024-02-01,WPU3012
2024,M03,March,,149.942,[{}],2024-03-01,WPU3012
2024,M04,April,,150.812,[{}],2024-04-01,WPU3012
2024,M05,May,,151.075,[{}],2024-05-01,WPU3012
2024,M06,June,,150.661,[{}],2024-06-01,WPU3012
2024,M07,July,,153.517,[{}],2024-07-01,WPU3012
2024,M08,August,,151.361,[{}],2024-08-01,WPU3012
2024,M09,September,,150.518,[{}],2024-09-01,WPU3012
2024,M10,October,,149.78,[{}],2024-10-01,WPU3012
2024,M11,November,,149.248,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2024-11-01,WPU3012
2024,M12,December,,151.457,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2024-12-01,WPU3012
2025,M01,January,,154.091,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2025-01-01,WPU3012
2025,M02,February,true,153.996,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",2025-02-01,WPU3012
2024,M13,Annual,,150.714,"[{'code': 'P', 'text': 'Preliminary. All indexes are subject to monthly revisions up to four months after original publication.'}]",,WPU3012
2023,M13,Annual,,153.113,[{}],,WPU3012
