Date,ppi_labor/compensation,weight_ppi_labor/compensation,ppi_steel_mill_products,weight_ppi_steel_mill_products,ppi_industrial_commodities_less_fuel,weight_ppi_industrial_commodities_less_fuel,ppi_fuel_products,weight_ppi_fuel_products,value,weighted_ppi_labor/compensation,weighted_ppi_steel_mill_products,weighted_ppi_industrial_commodities_less_fuel,weighted_ppi_fuel_products,source,indicator_id,unit,preferred_direction,description,monthly_change,yoy_change,yearly_adjustment
2020-01-01,35.34,0.35,187.3,0.3,207.2,0.25,163.6,0.1,136.719,12.369,56.190000000000005,51.8,16.36,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,,,4.6666038452736425
2020-02-01,35.34,0.35,187.4,0.3,207.1,0.25,154.9,0.1,135.854,12.369,56.22,51.775,15.490000000000002,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,-0.6326845573767947,,4.6666038452736425
2020-03-01,35.34,0.35,188.7,0.3,207.1,0.25,140.2,0.1,134.774,12.369,56.60999999999999,51.775,14.02,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,-0.7949710718860081,,4.6666038452736425
2020-04-01,35.34,0.35,187.4,0.3,205.2,0.25,116.1,0.1,131.499,12.369,56.22,51.3,11.61,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,-2.429993915740425,,4.6666038452736425
2020-05-01,35.96,0.35,182.6,0.3,204.4,0.25,122.2,0.1,130.686,12.586,54.779999999999994,51.1,12.22,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,-0.6182556521342253,,4.6666038452736425
2020-06-01,35.96,0.35,181.5,0.3,205.0,0.25,137.3,0.1,132.016,12.586,54.449999999999996,51.25,13.730000000000002,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,1.0177065638247385,,4.6666038452736425
2020-07-01,35.96,0.35,180.8,0.3,205.8,0.25,144.4,0.1,132.716,12.586,54.24,51.45,14.440000000000001,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,0.5302387589383173,,4.6666038452736425
2020-08-01,35.95,0.35,177.6,0.3,207.0,0.25,147.5,0.1,132.3625,12.5825,53.279999999999994,51.75,14.75,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,-0.2663582386449259,,4.6666038452736425
2020-09-01,35.95,0.35,177.7,0.3,208.1,0.25,147.7,0.1,132.6875,12.5825,53.309999999999995,52.025,14.77,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,0.2455378222683935,,4.6666038452736425
2020-10-01,35.95,0.35,180.5,0.3,208.7,0.25,146.4,0.1,133.5475,12.5825,54.15,52.175,14.64,SMS Equipment (Composite),sms_equipment,Index,down,Composite cost index for SMS Equipment based on weighted BLS PPI components,0.6481394253414985,,4.6666038452736425
