Date,value,monthly_change,yoy_change,source,indicator_id,unit,preferred_direction,description,yearly_adjustment
2020-01-01,99.87041495222813,,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-02-01,100.0740347028908,0.20388395378156954,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-03-01,100.18721831610023,0.11309988004926108,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-04-01,100.14482907585733,-0.04231002812070672,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-05-01,99.58998709008297,-0.5540395753774519,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-06-01,98.99705211666769,-0.5953760922560947,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-07-01,99.89095321048029,0.9029572847877754,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-08-01,100.41356715709951,0.5231844624788096,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-09-01,100.46481162376249,0.051033409243195216,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-10-01,100.75512903629843,0.2889742267403683,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-11-01,101.02490284533904,0.26775193642343265,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2020-12-01,101.1742133139529,0.14779570621556992,,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-01-01,102.59131847116718,1.4006584393365884,2.724433978010965,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-02-01,104.12281687794064,1.4928148205872516,4.045786888747149,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-03-01,105.6601738232288,1.4764842052730431,5.462728279231066,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-04-01,106.74713136546372,1.0287296555591574,6.5927540648207605,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-05-01,108.43227471211108,1.578631036817324,8.878691403012162,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-06-01,109.94093100510113,1.3913350955659265,11.0547522925593,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-07-01,111.02024816577465,0.981724595931821,11.141444342656136,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-08-01,112.01923019015162,0.8998196643240197,11.557863505530852,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-09-01,112.87703820848016,0.7657685353420263,12.354800038048207,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-10-01,113.99557294263774,0.9909320371178421,13.141210807808367,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-11-01,114.6916337427125,0.6106033612594874,13.528081208151344,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2021-12-01,115.72078006315365,0.8973159478657733,14.377741395489195,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-01-01,116.57212665237778,0.7356903304311491,13.62767180454927,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-02-01,117.48500893263241,0.7831051096604646,12.83310657101775,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-03-01,118.81364208919281,1.1308959063213386,12.448842160689576,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-04-01,120.00989007143231,1.0068271296165499,12.424463811174169,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-05-01,121.2567364527935,1.0389530234708566,11.827162876303676,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-06-01,121.97351874241302,0.5911278091329519,10.944593271411884,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-07-01,122.77075471646224,0.6536139829931731,10.584111227297765,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-08-01,122.92242111556182,0.1235362602843404,9.733320704759475,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-09-01,122.7248226552136,-0.160750543761623,8.724346955795315,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-10-01,122.99574965563487,0.2207597408247386,7.895198454352248,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-11-01,123.23682855293615,0.1960058766065087,7.450582515367299,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2022-12-01,123.34193205404772,0.08528578862805336,6.5858111107917505,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-01-01,123.70261654229748,0.29242649457745795,6.11680518721518,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-02-01,124.49033092925951,0.6367806995357217,5.9627369144978015,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-03-01,125.00916850029763,0.4167693725008581,5.214490779142911,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-04-01,125.82788488166118,0.6549250676454177,4.847929455452271,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-05-01,126.28554718536864,0.36372089075318303,4.147242355094138,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-06-01,126.87716278030025,0.46847450727136586,4.020252992981921,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-07-01,126.97367730097243,0.07606926144723136,3.4233906879670206,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-08-01,126.1573648194473,-0.6428989841651855,2.6316954014794725,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-09-01,125.96505572221544,-0.1524358863290165,2.6402426150617053,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
2023-10-01,125.47041139969554,-0.3926837643058123,2.0119896427228223,SMS Equipment (SAMPLE DATA),sms_equipment,Index,down,SAMPLE DATA - Composite cost index for SMS Equipment based on weighted BLS PPI components,4.02
