Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-31,0.07,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-02-29,1.28,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-03-31,2.64,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-04-30,3.33,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-05-31,2.53,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-06-30,2.25,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-07-31,2.96,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-08-31,1.49,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-09-30,0.63,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-10-31,0.12,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-11-30,0.76,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2020-12-31,1.69,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-01-31,1.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-02-28,1.96,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-03-31,2.28,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-04-30,2.78,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-05-31,3.06,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-06-30,2.79,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-07-31,2.96,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-08-31,3.32,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-09-30,3.39,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-10-31,3.94,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-11-30,4.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2021-12-31,4.43,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-01-31,3.72,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-02-28,2.82,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-03-31,2.87,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-04-30,3.56,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-05-31,2.77,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-06-30,2.44,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-07-31,1.84,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-08-31,1.53,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-09-30,1.03,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-10-31,1.14,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-11-30,1.27,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2022-12-31,1.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-01-31,1.09,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-02-28,-0.21,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-03-31,-1.14,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-04-30,-1.29,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-05-31,-1.56,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-06-30,-1.09,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-07-31,-0.92,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-08-31,-1.06,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-09-30,-0.65,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-10-31,-0.35,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-11-30,0.17,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2023-12-31,-0.16,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2024-01-31,-0.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2024-02-29,-0.18,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
2024-03-31,-0.34,NY Fed Supply Chain Pressure Index (Bloomberg),supply_chain,,down,Tracks global supply chain conditions where negative values indicate below-average pressure and positive values indicate above-average pressure. Lower values are better for supply chains.
