Date,value,source,indicator_id,unit,preferred_direction,description
2020-01-02,61.18,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-03,63.05,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-06,63.27,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-07,62.7,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-08,59.61,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-09,59.56,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-10,59.04,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-13,58.08,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-14,58.23,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-15,57.81,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-16,58.52,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-17,58.54,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-21,58.34,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
2020-01-22,56.74,WTI Crude Oil (CL1 Comdty),wti_oil,$,neutral,"West Texas Intermediate Crude Oil price, the U.S. benchmark for oil prices. Rising prices may indicate economic growth but also increased input costs."
